session,year,country,sentence
52,1997,QAT,"The State of Qatar is making a constructive effort in that context with the aim of establishing good and constructive relations with all countries of the region on the basis of good-neighbourliness, mutual respect, non-intervention in the internal affairs of others, respect for international legality and the settlement of disputes through peaceful means, dialogue and mediation or by arbitration under international law."
52,1997,COG,"But that right to judge, which we readily recognize for other peace-loving and democracy-loving peoples, does it not in turn imply a duty on the part of those who, in time of war, stand by silently, failing to provide humanitarian assistance to a people threatened with death and extinction? The people of the Congo, who have, since 5 June 1997, been dying slowly under fire from rockets and cannons — bought by the Congolese, yes, but sold to them by Western “philanthropists” — do they not deserve to benefit from that much-vaunted right to humanitarian intervention? We refuse to believe that, in the framework of our Organization, whose solid, founding values include the principle of justice and equality among peoples, this right to humanitarian intervention, which on a global scale involves an obligation to solidarity and to safeguard life, applies only to certain colours or geographic locations, depending on the colour or the geographic location of the 26   victims."
52,1997,PRT,"The effectiveness of intervention by the United Nations in humanitarian assistance is of special concern to us, including within the framework of the Security Council."
52,1997,PRT,"We are therefore understandably concerned about the new difficulties affecting the peace process, which have already resulted in the timely, and we hope decisive, intervention by the Security Council through its resolution 1127 (1997), adopted last month."
52,1997,COD,"Laurent-Désiré Kabila, in some ways recalls the deplorable and unfortunate United Nations intervention in the Congo in 1960."
52,1997,COD,"Here, I should like to call to witness the Security Council, some of whose members rightly refused to subscribe to the idea of an international intervention force led by Canada for the simple reason that the real Rwandan refugees had returned to Rwanda."
52,1997,KEN,"We wish to reiterate the OAU position stated at the recent Security Council ministerial meeting — namely, that there is a need for urgent intervention by the United Nations."
52,1997,KEN,"We are convinced that quick and effective action by the international community is necessary, as underscored by President Tejan Kabbah during his intervention before the Assembly on 1 October last."
52,1997,IRN,"Only through the establishment of a ceasefire, the cessation of foreign intervention, negotiations between all Afghan groups and the formation of a broad-based Government representing all Afghans can the crisis in Afghanistan find a lasting solution."
52,1997,GHA,"After nearly eight years of fratricidal civil war and the Economic Community of West African States (ECOWAS) Monitoring Group (ECOMOG) intervention in Liberia, countries of the subregion, with only the limited assistance of the international community, finally succeeded in supervising the conduct of presidential and legislative elections in the country in July 1997, under conditions generally acknowledged to be free and fair."
52,1997,NLD,"Diplomacy, economic sanctions, arms embargoes and political pressure will reduce risk and costs as compared to military intervention in an escalated conflict."
52,1997,NLD,"Military intervention, under United Nations auspices, for humanitarian purposes may be necessary in certain conflict situations."
52,1997,DNK,"﻿First of all, I would like to refer to the intervention which will be made tomorrow by the Foreign Minister of Luxembourg on behalf of the European Union."
52,1997,GMB,"Therefore, while we encourage greater United Nations intervention in bringing solace to the suffering, innocent Iraqi civilian population, we strongly urge the Government of Iraq to comply with the provisions of these Security Council resolutions, in order to alleviate the suffering, especially that of the children."
52,1997,RWA,"Africa and the third world in general are suffering from various ills, principal among which are ignorance, poverty, bad political leadership, coups d’état and foreign intervention."
52,1997,AND,"Why should we not consider, among other possibilities, the establishment of a reliable and discreet system of information to measure the political temperature of points of tension throughout the world? Why do we not empower the Security Council to examine in its debates these difficult questions before a conflict arises and temperatures become inflamed beyond the burning point? Indeed, as we consider the reform of the Security Council, why do we not concentrate more on its deeper action, with a view to giving it the means to accomplish preventative diplomacy, as we consider its size and structure? It is truly a matter of regret that the United Nations is not the best instrument for armed intervention during a conflict, unless it is for humanitarian reasons."
52,1997,AFG,"The Islamic State of Afghanistan — like many others in the world, including some prominent Pakistani politicians and commentators — still identifies Pakistani intervention and interference in the internal affairs of Afghanistan as the root cause of the prolonged conflict and the subsequent suffering of our people."
52,1997,AFG,"[resolution 51/195 B, seventh preambular paragraph] The General Assembly also stressed “the importance of non-intervention and non- interference in the internal affairs of Afghanistan”."
52,1997,MDG,"Likewise, humanitarian relief, which the United Nations continues to provide to countries that are facing natural disasters, would become more effective with the creation of an office for the coordination of emergency situation efforts, complemented by an appropriate intervention mechanism."
52,1997,MDG,"With regard to the Republic of Congo, therefore, Madagascar appeals to the parties to develop a dialogue aimed at a definitive ceasefire, in accordance with the spirit of the Libreville Summit, held on 14 and 15 September 1997, and at allowing the deployment, under the auspices of the United Nations and the Organization of African Unity (OAU), of the international intervention force recommended at the Summit."
40,1985,MOZ,We are witnessing an increasing recourse to the threat or use of force and to intervention or interference in the internal affairs of'other States.
40,1985,YEM,"We believe that a start to solving the problem can be achieved in the return of the refugees to their homeland as soon as possible and by putting an end to all kinds of external intervention in Afghanistan, whatever the source."
40,1985,CAF,"Any thoughts about the future of such an Organization obviously entail study of its ability to adapt itself to changing times and, at the same time, an attempt to strengthen its means of action in every area of international life, and especially with regard to areas in which its intervention has hitherto been limited."
40,1985,COD,"The massive supply of such weapons to States that base their philosophy on expansionism, domination and intervention in the internal affairs of other States increases the danger of confrontation between States and prompts such over-armed States to launch attacks and commit acts of aggression against other states less well-armed and therefore more vulnerable."
40,1985,MEX,"The establishment of a support group, formed by Argentina, Brazil, Peru and Uruguay, demonstrates Latin America's rejection of the use of force and foreign intervention of any origin in Central America."
40,1985,MEX,"Although signing a legal instrument is clearly not enough to ensure peace and development in the area, the Contadora Act for Peace and Co-operation in Central America is, in our opinion, a viable means of preventing war and intervention in the zone."
40,1985,MEX,In our judgment the principle of non-intervention admits of no exception.
40,1985,MDG,Some see foreign intervention there.
40,1985,HUN,"The foreign policy of the South African Government seeks to destabilize the neighboring countries and, to that end, it resorts to various political and economic measures, not even shrinking from armed intervention."
40,1985,DJI,"Foreign intervention in the internal affairs of Chad, which are a flagrant violation of its sovereignty and territorial integrity, must be condemned."
40,1985,DJI,The Republic of Djibouti is opposed and will always be opposed to foreign armed intervention and to the presence of occupation forces on Afghan territory or elsewhere.
40,1985,IRN,"Otherwise aggression against independent countries and intervention in their affairs, and imposition of illegal jurisdiction, such as the so-called mobile sovereignty in the Persian Gulf and other areas granted to the United States fleet by the United States pirate Government itself, will continue unabated."
40,1985,IRN,"The Islamic Republic of Iran believes that the political crisis in South-East Asia, especially in Kampuchea, can be overcome only on the basis of the wishes of the peoples of that area and in an atmosphere free from great-Power intervention; the Islamic Republic of Iran also supports the aspirations of the Korean people for the unification of their country."
40,1985,COG,I shall borrow the final words of my intervention from the admirable recommendation made by the former Presidents of the General Assembly at their meeting held under the auspices of the United Nations Institute for Training and Research (UNITAR) last June.
40,1985,MMR,"In each of these situations, there has been employment of armed intervention by an external Power in the internal affairs of another independent sovereign State to bring about a change of the government of that State."
40,1985,BRA,"We therefore champion the principle of the self-determination of peoples and of toe duty of non-intervention, of the peaceful settlement of disputes and of the relaxation of East-West tension."
40,1985,RWA,"In this connection, the Republic of Rwanda reaffirms its adherence to the principle of non-intervention in the internal affairs of other States and associates itself with the relevant decisions taken by our Organization, inspired by the need scrupulously to respect that principle."
40,1985,TCD,"That is why, as we reflect on the major outlines of what we are to do in years to come, we must not shrink from coming to grips with weaknesses and shortcomings, so as to draw the lessons that will enable the United Nations to become an effective instrument for co-operation, solidarity, respect for the principles of independence, for non-intervention in the domestic affairs of States, and for the territorial integrity of States."
40,1985,KEN,"On the situation in Kampuchea, we support efforts aimed at a negotiated, peaceful settlement and reaffirm the right of the people of that country to determine their own destiny, free from external interference and intervention."
40,1985,IND,He also believe in safeguarding the independence of States and upholding the principles of non-interference and non-intervention.
40,1985,IND,"Policies of interference and intervention and the threat of the use of force imperil peace and security in the region, complicating its serious social and economic problems."
40,1985,CMR,"We must consciously create such conditions in international relations as demonstrate a firm determination on the part of States to ensure equal rights and the self-determination of peoples* to avoid intervention in the internal affairs of States; to co-operate with one another systematically to ease or eradicate the malaise of those condemned to face economic and social underdevelopment; to strengthen the capacity of all nations, great and small, to grow and foster the well-being of their populations; to ensure the orderly development of the natural resources that give sustenance to man and his well-being on this planet; and to provide an appropriate response to all threats, both natural and man-made, to human survival."
40,1985,PAK,"In defense of their cherished freedom, which they have enjoyed almost without interruption for centuries, the Afghan people have waged a heroic struggle against military intervention and foreign domination."
40,1985,PAK,"For six years this Assembly, the Movement of Non-aligned Countries and the Organization of the Islamic Conference have expressed, in unequivocal terms, the opposition of the world community to foreign intervention in Afghanistan and have repeatedly called for the immediate and unconditional withdrawal of foreign troops, which would immediately bring peace and normalcy to the area."
40,1985,PAK,The moral and political pressure exerted by the decisions of the General Assembly is of critical importance in ensuring progress towards an early termination of military intervention in Afghanistan and the restoration of peace in that country.
40,1985,PAK,The external intervention in Kampuchea raises the same questions of principle.
40,1985,URY,"Likewise, it would be a mistake to ignore the way in which these tragedies are exploited politically, or to think that there must be some lasting solution that is not based on strict observance of the principles held in greatest regard by the political traditions of Latin America, namely, non-intervention, respect for the territorial integrity and sovereignty of States, non-use of force and non-use of the territory of one State to undermine the sovereignty and independence of another, wherever it may be, in Latin America or elsewhere, in America or in another continent."
40,1985,DOM,"We follow with great interest and concern the development and evolution of conflicts in other areas of the world where there is disregard for the guiding principles of the United Nations Charter concerning respect for the national independence, sovereignty and territorial integrity of States, non-intervention, non-interference in internal affairs, the non-use of the threat or use of force, while at the same time attempts are made to restrict the right of peoples to self- determination by means of foreign occupation or colonial domination."
40,1985,BGD,"We are equally convinced that the peoples of Afghanistan and Kampuchea should have restored to them their inalienable right to choose freely their own form of political, social and economic systems without any outside interference and intervention."
40,1985,LKA,"Sri Lanka has always expressed its support for a political settlement that would include the withdrawal of foreign troops and guarantee full respect for the independence, sovereignty, territorial integrity and non-aligned status of Afghanistan and ensure scrupulous observance by all States of the principles of non-intervention and non-interference in its internal affairs."
40,1985,LKA,"External intervention cannot be justified nor can it be condoned on any grounds, even cm the grounds of concern for kindred communities in other states."
40,1985,LKA,"In Central America, too, independent States face external intervention and destabilization attempts which threaten their very survival as sovereign States."
40,1985,IRL,The long-suffering peoples of the region must be given the opportunity to develop their societies in peace and freedom without external intervention.
40,1985,IRL,"The continuing conflict there, the suffering of the Afghan people, the plight of the refugees and the burden of neighboring countries bear testimony to the heavy toll of the Soviet intervention."
40,1985,PHL,All we ask is scrupulous respect for United Nations resolutions and declarations on the inadmissibility of intervention in the domestic affairs of States so that our people will be able once again to exercise freely their right to self-determination.
40,1985,EGY,This situation gives rise to a state of unrest and tension which could be used as a pretext for large-scale foreign intervention - a development that could lead to a widening of the sphere of conflict and an escalation of fighting and destruction.
40,1985,PRY,"Our country takes an optimistic view as it follows the efforts of the Contadora Group to achieve a lasting and stable peace, as well as to eliminate the root of the problem, in that strategic region - that is, the intervention of a super-Power from outside the continent through a State in the region whose aims constitute a threat to the stability and freedom of the American continent."
40,1985,ARE,"He are compelled to emphasize this in the interest of the stability of our region and of averting the dangers of foreign intervention, which could turn the region into an arena of conflict by the super-powers and foreign interests."
40,1985,CUB,"With deep concern, we note the continued worsening of the world political and economic situation owing to the persistence of serious crises and tensions in international relations, to the obstacles set up against the peoples' legitimate aspirations to emancipation and independent development without foreign interference or intervention, to the spiraling growth of the arms race resulting from the insane imperialist policy of seeking an impossible military supremacy so as to decide the fate of the world from positions of strength, and to the attempts at extending this race to outer space."
40,1985,CUB,"The policies of imperialism are characterized by the use or threat of use of force, intervention, destabilization, aggression, economic and political coercion, hegemony and oppression, while the crisis of the world capitalist system, which is growing ever deeper, brutally affects the developing countries and endangers their independence, sovereignty and territorial integrity, making economic development virtually impossible for them."
40,1985,CUB,"The Ministers noted with deep concern that the situation in Central America now constituted one of the main focal points of tension in the international arena and that, notwithstanding repeated appeals by the Movement of Non-Aligned Countries and the rest of the international community, as well as efforts by the Contadora Group to find a negotiated solution, the situation in that area was continuing to deteriorate as a result of the implementation of imperialist policies of interference and intervention."
40,1985,CUB,"In this regard, they observed that the danger of direct United States intervention in Nicaragua, Cuba and other countries of the region had increased alarmingly."
40,1985,YMD,"The escalation of that war can only serve the forces of imperialism, which exploit these circumstances as a pretext for intervention."
40,1985,YMD,The blatant imperialist intervention has spread to other independent countries.
40,1985,YMD,"Our country is at present in the midst of preparing for the third general conference of the Yemen Socialist Party, which leads the process of social, economic and political change on the basis of our position of principle of building a new society and consolidating security and stability in our region through the strengthening of normal, peaceful relations with neighboring States, based on mutual respect, non-intervention in each other's internal affairs and mutual interest."
40,1985,ARG,"In so far as concerns my own country, the intervention of international organizations contributed decisively to the easing of the situations of numerous victims of political persecution and helped save others from a grim fate during a recent dramatic period of our history."
40,1985,ARG,"But they should always be guided precisely by true principles of non-alignment: equi-distance between the blocs, non-intervention and non-interference in the internal affairs of other countries, the peaceful settlement of disputes, the juridical equality of States, and rejection of all forms of domination."
40,1985,ARG,"The better world we see is based on three fundamental principles of civilized coexistence: juridical equality of States, non-intervention in internal affairs and the self-determination of peoples."
40,1985,FRA,"In Afghanistan, foreign intervention has been sustaining the war for almost six years."
40,1985,CHL,The realization of the objectives confirmed by the Charter must be effected with complete respect for the principles of the sovereign equality of States and non-intervention in their internal affairs.
40,1985,CHL,"In fact, the principle of non-intervention and its confirmation as a rule of international law have been regarded as a primordial objective of their international policy by the countries of the Latin American region."
40,1985,CHL,"""The Chilean Government has observed with concern the persistent violations of the principle of non-intervention in the internal affairs of States."
40,1985,DZA,"Over and beyond its immediate intervention in areas of critical interest and its response to calls for assistance from certain countries or regions, the United -Nations has been faced with an overall problem by reason of the world economic crisis."
40,1985,NOR,"The Soviet Union's military intervention in Afghanistan not only causes great suffering and losses for the Afghan people and increases tension in the region, but it is also me of the major issues preventing normalization between the East and the West."
40,1985,AUT,Almost six years have passed since the military intervention in Afghanistan.
40,1985,ROU,We strongly condemn the new repressive measures taken by the South African authorities against the black population and their blatant armed intervention and aggression against Angola and other neighboring States.
40,1985,SYR,"Current developments in Central America and the Caribbean, which have acquired serious dimensions, cannot be isolated from United States acts of intervention aimed at preventing the peoples of the region, foremost among which is the heroic people of Nicaragua, from exercising their right to self-determination and opting for the systems of their own choice."
40,1985,YUG,He are deeply concerned and troubled by the escalation of armed intervention and pressure against the sovereignty and independence of Nicaragua.
40,1985,MUS,"Dialog without outside pressure and intervention can be positive and should be encouraged, like the direct contact between North and South Korea which should continue."
